"""MaStR-Nr. der Einheit""";Anzeige-Name der Einheit;Bruttoleistung der Einheit;Nettonennleistung der Einheit;Inbetriebnahmedatum der Einheit;Registrierungsdatum der Einheit;Bundesland;Postleitzahl;Ort;Anzahl der Solar-Module;Hauptausrichtung der Solar-Module;Inbetriebnahmedatum der EEG-Anlage;Coords;Wetter-ID
SEE928509716003;Altbaudach;4,8;3,5;28.08.2002;28.12.2020;Hamburg;22159;Hamburg;20.0;SÃ¼d;28.08.2002;[53.615857, 10.1196276];4039
SEE926712885066;Hausdach;6,24;6,24;20.03.2012;29.12.2020;Hamburg;22397;Hamburg;26.0;SÃ¼d;20.03.2012;[53.6922599, 10.1080226];4039
SEE925688162607;Hausdach;9,88;8,3;28.09.2010;29.12.2020;Hamburg;22395;Hamburg;52.0;SÃ¼d-West;28.09.2010;[53.6667313, 10.1165789];4039
SEE957608611698;Solaranlage;6,93;5,5;22.12.2004;29.12.2020;Hamburg;22041;Hamburg;42.0;SÃ¼d;22.12.2004;[53.550341, 10.000654];4039
SEE995927381359;Photovoltaikanlage;2,01;2,01;19.04.2017;29.12.2020;Hamburg;21035;Hamburg;6.0;SÃ¼d;19.04.2017;[53.482356, 10.1714862];4039
SEE906037080278;PV-Dachlanlage 8,12 kWp;8,12;8,12;26.03.2012;29.12.2020;Hamburg;22547;Hamburg;28.0;SÃ¼d;26.03.2012;[53.5991257, 9.8775211];4039
SEE937994900996;PV;31,05;28;31.08.2009;29.12.2020;Hamburg;21129;Hamburg;414.0;SÃ¼d-West;31.08.2009;[53.5259453, 9.8372267];4039
SEE962404466199;PV Anlage;8,67;8,67;23.10.2014;29.12.2020;Hamburg;21037;Hamburg;12.0;Ost;23.10.2014;[53.4351527, 10.1484351];4039
SEE929893709039;RH2;7,08;6;03.01.2017;29.12.2020;Hamburg;21147;Hamburg;24.0;SÃ¼d-West;03.01.2017;[53.4781843, 9.8768076];4039
SEE956756339652;Hallendach;39,36;15,2;21.12.2009;30.12.2020;Hamburg;21129;Hamburg;164.0;SÃ¼d;21.12.2009;[53.5259453, 9.8372267];4039
SEE994974479187;Dach 21 a;4,09;4,09;30.03.2012;30.12.2020;Hamburg;21077;Hamburg;21.0;SÃ¼d;30.03.2012;[53.550341, 10.000654];4039
SEE943676037799;Sonnen;3,36;3,36;14.07.2011;30.12.2020;Hamburg;22419;Hamburg;16.0;SÃ¼d-Ost;14.07.2011;[53.550341, 10.000654];4039
SEE941227644120;Amfra 21 Garage;8;8;14.12.2011;30.12.2020;Hamburg;21077;Hamburg;32.0;SÃ¼d;14.12.2011;[53.550341, 10.000654];4039
SEE942707207989;Solar Haus 28a;2,01;2,01;21.10.2015;30.12.2020;Hamburg;22391;Hamburg;6.0;West;21.10.2015;[53.550341, 10.000654];4039
SEE988643487191;Schwarzdach;3,3;3,3;29.07.2016;30.12.2020;Hamburg;21077;Hamburg;12.0;SÃ¼d-West;29.07.2016;[53.550341, 10.000654];4039
SEE993414427221;Solar Haus 28;2,01;2,01;21.10.2015;30.12.2020;Hamburg;22391;Hamburg;6.0;West;21.10.2015;[53.550341, 10.000654];4039
SEE912970986300;B59_Solar;2,45;2,45;04.11.2004;15.01.2021;Hamburg;22145;Hamburg;16.0;SÃ¼d-West;04.11.2004;[53.6281342, 10.16261];4039
SEE961992272854;Goethe-Gymnasium Hamburg;1,92;1,92;19.06.1997;31.12.2020;Hamburg;22547;Hamburg;32.0;SÃ¼d;19.06.1997;[53.5991257, 9.8775211];4039
SEE924124492667;Hausdach;1,7;1,7;13.06.1996;30.12.2020;Hamburg;22587;Hamburg;1.0;SÃ¼d;13.06.1996;[53.5639997, 9.8092706];4039
SEE938262195175;PV-Anlage;4,905;4,6;20.05.2015;30.12.2020;Hamburg;21129;Hamburg;15.0;Ost-West;20.05.2015;[53.5259453, 9.8372267];4039
SEE995151825254;Carport;7,68;6;01.09.2016;30.12.2020;Hamburg;21037;Hamburg;24.0;SÃ¼d-Ost;01.09.2016;[53.4351527, 10.1484351];4039
SEE952473837655;Halle Moorwerder Hauptdeich 22;28,8;27;21.02.2013;30.12.2020;Hamburg;21109;Hamburg;30.0;SÃ¼d-Ost;21.02.2013;[53.550341, 10.000654];4039
SEE997021365693;Klaus Ulfig - neu;2,4;2,4;08.06.2018;30.12.2020;Hamburg;22457;Hamburg;8.0;SÃ¼d-Ost;08.06.2018;[53.6375593, 9.9110214];4039
SEE995785197949;Solaranlage Schule Brehmweg 62;1;1;22.09.1999;30.12.2020;Hamburg;22527;Hamburg;1.0;SÃ¼d;22.09.1999;[53.550341, 10.000654];4039
SEE979144282651;Sonne;8,48;7;28.06.2013;31.12.2020;Hamburg;22393;Hamburg;;SÃ¼d-West;28.06.2013;[53.6477044, 10.1151804];4039
SEE910048687432;Hausdach west;5;3;29.10.1999;31.01.2021;Hamburg;21129;Hamburg;26.0;West;29.10.1999;[53.5259453, 9.8372267];4039
SEE973189243356;PVA Hasenstieg;9,6;9,6;20.06.2011;31.12.2020;Hamburg;22043;Hamburg;1.0;SÃ¼d;20.06.2011;[53.550341, 10.000654];4039
SEE925146227572;91524;2,01;2,01;19.04.2017;31.12.2020;Hamburg;21035;Hamburg;6.0;SÃ¼d;19.04.2017;[53.482356, 10.1714862];4039
SEE989664010184;PV-DSH KÃ¶nigstraÃe 54;41,82;40;27.06.2014;31.12.2020;Hamburg;22767;Hamburg;164.0;SÃ¼d;27.06.2014;[53.550341, 10.000654];4039
SEE995340126025;PV-RWH Klopstockplatz 2;32,64;30;25.07.2014;31.12.2020;Hamburg;22765;Hamburg;128.0;SÃ¼d;25.07.2014;[53.550341, 10.000654];4039
SEE910841678484;Solar Bahrenfeld;1,44;1,44;10.07.2009;31.12.2020;Hamburg;22761;Hamburg;8.0;SÃ¼d;10.07.2009;[53.550341, 10.000654];4039
SEE971473673964;Werbeschild;1,02;1;14.02.2002;31.12.2020;Hamburg;22395;Hamburg;12.0;SÃ¼d-Ost;14.02.2002;[53.6667313, 10.1165789];4039
SEE995688062283;Hausdach;4,25;4,25;28.12.2011;31.12.2020;Hamburg;22143;Hamburg;17.0;SÃ¼d;28.12.2011;[53.6065558, 10.1637302];4039
SEE935543435005;Solardach;3,12;3;23.03.2012;05.01.2021;Hamburg;22393;Hamburg;13.0;SÃ¼d-Ost;23.03.2012;[53.6477044, 10.1151804];4039
SEE944296608505;Hausdach;7,5;7;14.07.2017;01.01.2021;Hamburg;21037;Hamburg;25.0;SÃ¼d;14.07.2017;[53.4351527, 10.1484351];4039
SEE929173407198;DELPHI KOR;9,35;8,5;15.12.1997;01.01.2021;Hamburg;22559;Hamburg;110.0;SÃ¼d;15.12.1997;[53.58054, 9.7559251];4039
SEE947889222508;Solardach;2,01;2,01;27.03.2018;02.01.2021;Hamburg;21109;Hamburg;6.0;West;27.03.2018;[53.550341, 10.000654];4039
SEE977568268497;Hausdach;7,83;7,83;30.09.2013;02.01.2021;Hamburg;22559;Hamburg;29.0;SÃ¼d;30.09.2013;[53.58054, 9.7559251];4039
SEE961631099958;WEG Buchenallee 18;5,04;3;16.11.2012;02.01.2021;Hamburg;22529;Hamburg;3.0;SÃ¼d-West;16.11.2012;[53.550341, 10.000654];4039
SEE985119379714;Hausdach;5,98;5,5;16.08.2013;03.01.2021;Hamburg;22547;Hamburg;23.0;Ost-West;16.08.2013;[53.5991257, 9.8775211];4039
SEE921128917509;Schwan_Dach;3,06;2,5;07.12.2014;09.01.2021;Hamburg;20097;Hamburg;12.0;Nord;07.12.2014;[53.550341, 10.000654];4039
SEE936773754256;Hausdach;4,08;4;28.08.2013;03.01.2021;Hamburg;21147;Hamburg;18.0;SÃ¼d;28.08.2013;[53.4781843, 9.8768076];4039
SEE916032884528;Powerlotte 8;12,6;12;21.07.2011;10.01.2021;Hamburg;22397;Hamburg;56.0;SÃ¼d;21.07.2011;[53.6922599, 10.1080226];4039
SEE986707483196;Solaranlage Schuldach Schulverein BS19 Hermelinweg 8 22159 HH;4;3,6;16.12.1997;03.03.2021;Hamburg;22159;Hamburg;40.0;nachgefÃ¼hrt;16.12.1997;[53.615857, 10.1196276];4039
SEE904165366561;Schacht Solar;29,2;29,2;20.12.2011;04.01.2021;Hamburg;21129;Hamburg;136.0;Ost-West;20.12.2011;[53.5259453, 9.8372267];4039
SEE942633263073;Reeseberg 45;13,86;13,86;28.08.2006;04.01.2021;Hamburg;21079;Hamburg;20.0;SÃ¼d-Ost;28.08.2006;[53.550341, 10.000654];4039
SEE914702250031;Auedeich;1,1;0,9;18.11.1997;04.01.2021;Hamburg;21129;Hamburg;22.0;SÃ¼d-West;18.11.1997;[53.5259453, 9.8372267];4039
SEE982400311538;Hausdach;1,749;1,7;23.01.2004;04.01.2021;Hamburg;22417;Hamburg;11.0;SÃ¼d;23.01.2004;[53.6704119, 10.0270286];4039
SEE969227126026;PV-Anlage;2,5;2,5;10.10.2013;04.01.2021;Hamburg;22589;Hamburg;10.0;SÃ¼d;10.10.2013;[53.5780697, 9.8129384];4039
SEE902640958751;PV Anlage;3,35;3,35;04.09.2014;04.01.2021;Hamburg;21149;Hamburg;8.0;SÃ¼d-West;04.09.2014;[53.467191, 9.8560631];4039
SEE917900769114;Lio69;9,735;9;01.09.2016;04.01.2021;Hamburg;21147;Hamburg;33.0;SÃ¼d-West;01.09.2016;[53.4781843, 9.8768076];4039
SEE912393800504;H.Hansen;9,88;8;08.11.2016;05.01.2021;Hamburg;22761;Hamburg;38.0;Ost;08.11.2016;[53.550341, 10.000654];4039
SEE905553917075;Garage-SÃ¼d;4,95;4,6;26.10.2016;05.01.2021;Hamburg;22339;Hamburg;15.0;SÃ¼d;26.10.2016;[53.550341, 10.000654];4039
SEE988725405075;Dielendach;4,84;4,84;08.01.1999;06.01.2021;Hamburg;22395;Hamburg;36.0;SÃ¼d;08.01.1999;[53.6667313, 10.1165789];4039
SEE919246478897;SchrÃ¤gdach-SÃ¼d;2,58;2,5;31.05.2011;05.01.2021;Hamburg;22395;Hamburg;12.0;SÃ¼d;31.05.2011;[53.6667313, 10.1165789];4039
SEE933574853423;Dach;2;2;14.02.2002;05.01.2021;Hamburg;22359;Hamburg;20.0;SÃ¼d;14.02.2002;[53.655975, 10.1629858];4039
SEE934759265543;Hausdach;2,226;1,8;09.05.2000;05.01.2021;Hamburg;22309;Hamburg;14.0;SÃ¼d-West;09.05.2000;[53.550341, 10.000654];4039
SEE998784072552;Bartels PV-Anlage 2013;7,8;7,8;26.05.2013;05.01.2021;Hamburg;21109;Hamburg;40.0;SÃ¼d;26.05.2013;[53.550341, 10.000654];4039
SEE986152758542;Flachdach;5,28;4,6;24.06.2009;05.01.2021;Hamburg;21031;Hamburg;24.0;SÃ¼d;24.06.2009;[53.507818, 10.195355];4039
SEE981272244692;Dachsolaranlage;3,18;3,18;25.03.1993;05.01.2021;Hamburg;22147;Hamburg;60.0;SÃ¼d;25.03.1993;[53.6118613, 10.1375976];4039
SEE972438492798;PV 1;4,2;4;25.06.2010;05.01.2021;Hamburg;22159;Hamburg;20.0;SÃ¼d;25.06.2010;[53.615857, 10.1196276];4039
SEE923141403311;PV 2;5;4;12.09.2012;05.01.2021;Hamburg;22159;Hamburg;20.0;SÃ¼d;12.09.2012;[53.615857, 10.1196276];4039
SEE976901216645;Solar;3,6;3,6;21.07.2017;05.01.2021;Hamburg;21077;Hamburg;12.0;SÃ¼d;21.07.2017;[53.550341, 10.000654];4039
SEE992696155778;Solaranlage;2,15;1,9;30.11.2010;06.01.2021;Hamburg;22397;Hamburg;10.0;SÃ¼d;30.11.2010;[53.6922599, 10.1080226];4039
SEE965690328011;DH nord;1,2;1,2;19.09.2012;20.01.2021;Hamburg;21149;Hamburg;15.0;SÃ¼d-West;19.09.2012;[53.467191, 9.8560631];4039
SEE999277633991;Hallendach;27,26;22,2;01.09.2006;07.01.2021;Hamburg;21129;Hamburg;196.0;SÃ¼d;01.09.2006;[53.5259453, 9.8372267];4039
SEE916788809448;Aral Tankstelle Curslacker neuer Deich 34, 21029 Hamburg;14,4;12,5;10.05.2001;07.01.2021;Hamburg;21029;Hamburg;180.0;SÃ¼d;10.05.2001;[53.4868773, 10.2233996];1736
SEE970875352781;Aral Tankstelle Rahlstedter StraÃe 87, 22149 Hamburg;11,52;9;10.05.2001;07.01.2021;Hamburg;22149;Hamburg;144.0;SÃ¼d;10.05.2001;[53.5919645, 10.1620723];4039
SEE936607702293;Aral Tankstelle Otto-Brenner-StraÃe 6, 21109 Hamburg;14,4;12,5;10.05.2001;07.01.2021;Hamburg;21109;Hamburg;180.0;SÃ¼d;10.05.2001;[53.550341, 10.000654];4039
SEE971690776110;Solaranlage;3,45;3;02.07.1997;07.01.2021;Hamburg;22395;Hamburg;30.0;SÃ¼d-West;02.07.1997;[53.6667313, 10.1165789];4039
SEE981943176048;S25;14,58;14,58;14.10.1998;07.01.2021;Hamburg;22303;Hamburg;;SÃ¼d;14.10.1998;[53.550341, 10.000654];4039
SEE984655067895;PV-Anlage_REWE_Hamburg_Hardauring;138,72;138;24.01.2013;07.01.2021;Hamburg;21147;Hamburg;544.0;SÃ¼d;24.01.2013;[53.4781843, 9.8768076];4039
SEE971494803975;G5;7,13;7,13;14.12.2004;07.01.2021;Hamburg;22307;Hamburg;;SÃ¼d;14.12.2004;[53.550341, 10.000654];4039
SEE959988647472;G13;12,96;12,96;14.12.2004;07.01.2021;Hamburg;22307;Hamburg;;SÃ¼d;14.12.2004;[53.550341, 10.000654];4039
SEE988451295377;G17;18,14;18,14;14.12.2004;07.01.2021;Hamburg;22307;Hamburg;;SÃ¼d;14.12.2004;[53.550341, 10.000654];4039
SEE951826501380;G9;14,58;14,58;14.12.2004;07.01.2021;Hamburg;22307;Hamburg;;SÃ¼d;14.12.2004;[53.550341, 10.000654];4039
SEE907303605638;Rahlstedt B75;4,08;1;18.10.2011;08.01.2021;Hamburg;22143;Hamburg;17.0;SÃ¼d-Ost;18.10.2011;[53.6065558, 10.1637302];4039
SEE940377584997;PvHausdachCosmea;2,1;2,1;29.11.2010;08.01.2021;Hamburg;22391;Hamburg;10.0;SÃ¼d;29.11.2010;[53.550341, 10.000654];4039
SEE931043239709;PRAGERSOLAR;2;1,8;20.09.2001;08.01.2021;Hamburg;22395;Hamburg;20.0;SÃ¼d;20.09.2001;[53.6667313, 10.1165789];4039
SEE961804147745;PV-Anlage;3;3;26.05.2014;09.01.2021;Hamburg;21109;Hamburg;1.0;SÃ¼d-West;26.05.2014;[53.550341, 10.000654];4039
SEE949000144775;ABR922795565567;4,16;4,16;07.05.2013;09.01.2021;Hamburg;22589;Hamburg;16.0;SÃ¼d;07.05.2013;[53.5780697, 9.8129384];4039
SEE957917691299;"HauptgebÃ¤ude; Anlage 99; 4,8";4,8;4;08.06.1999;09.01.2021;Hamburg;21033;Hamburg;40.0;SÃ¼d;08.06.1999;[53.5010368, 10.1796657];4039
SEE975417736739;Hausdach Solar;4,23;4;21.06.2010;09.01.2021;Hamburg;22453;Hamburg;18.0;SÃ¼d-Ost;21.06.2010;[53.550341, 10.000654];4039
SEE967904896651;Sonnenraub;1,68;1,5;20.04.2017;09.01.2021;Hamburg;22395;Hamburg;3.0;SÃ¼d-West;20.04.2017;[53.6667313, 10.1165789];4039
SEE974937256475;Solar1;3,24;2,6;26.05.2005;09.01.2021;Hamburg;22393;Hamburg;18.0;SÃ¼d;26.05.2005;[53.6477044, 10.1151804];4039
SEE982745155866;HEU_87;2,45;2,45;18.08.2009;10.01.2021;Hamburg;22339;Hamburg;8.0;SÃ¼d-West;18.08.2009;[53.550341, 10.000654];4039
SEE933919033992;HL_13;20,09;20;22.12.2011;10.01.2021;Hamburg;22399;Hamburg;82.0;SÃ¼d-West;22.12.2011;[53.6638384, 10.0722229];4039
SEE971576787148;IR_8;2,45;2,45;31.03.2010;10.01.2021;Hamburg;22339;Hamburg;14.0;SÃ¼d-West;31.03.2010;[53.550341, 10.000654];4039
SEE950662639479;Hausdach;3,445;3,445;08.07.2016;10.01.2021;Hamburg;21037;Hamburg;13.0;SÃ¼d-Ost;08.07.2016;[53.4351527, 10.1484351];4039
SEE959240797815;PV-Anlage;5,16;5;18.05.2010;10.01.2021;Hamburg;22393;Hamburg;24.0;SÃ¼d-West;18.05.2010;[53.6477044, 10.1151804];4039
SEE909472045826;Hausdach;3,15;2;02.12.2005;10.01.2021;Hamburg;21079;Hamburg;40.0;SÃ¼d;02.12.2005;[53.550341, 10.000654];4039
SEE938109591153;PV-Analage Plaggenmoor;3,2;3,2;23.10.2018;10.01.2021;Hamburg;21147;Hamburg;10.0;West;23.10.2018;[53.4781843, 9.8768076];4039
SEE960161790762;Sonnendach;5,2;5;11.04.2016;10.01.2021;Hamburg;22559;Hamburg;20.0;West;11.04.2016;[53.58054, 9.7559251];4039
SEE910528752827;PV-Hamburg 01;4,77;4;08.07.2013;10.01.2021;Hamburg;22045;Hamburg;18.0;SÃ¼d;08.07.2013;[53.5839495, 10.1308382];4039
SEE993405960225;Photovoltaik NeuallermÃ¶he;4,32;3,4;15.02.1998;10.01.2021;Hamburg;21035;Hamburg;36.0;SÃ¼d-Ost;15.02.1998;[53.482356, 10.1714862];4039
SEE961540414941;Photovoltaikanlage;4,59;4;27.10.2017;10.01.2021;Hamburg;22145;Hamburg;18.0;SÃ¼d-Ost;27.10.2017;[53.6281342, 10.16261];4039
SEE974190582410;Photovoltaikanlage 2008;1,4;1,4;03.07.2008;10.01.2021;Hamburg;22587;Hamburg;35.0;SÃ¼d;03.07.2008;[53.5639997, 9.8092706];4039
SEE976307886350;PVAnlage20138Kwp;8,33;8,33;28.02.2013;10.01.2021;Hamburg;22457;Hamburg;36.0;SÃ¼d-West;28.02.2013;[53.6375593, 9.9110214];4039
SEE989596480703;Hausdach;1,2;0,001;03.04.2012;10.01.2021;Hamburg;22605;Hamburg;8.0;SÃ¼d;03.04.2012;[53.550341, 10.000654];4039
SEE987578254625;AS-SOLA-98;1;1;10.11.1998;10.01.2021;Hamburg;22145;Hamburg;10.0;SÃ¼d-West;10.11.1998;[53.6281342, 10.16261];4039
SEE989311748118;Hausdach;6,5;6,5;22.07.2015;11.01.2021;Hamburg;22391;Hamburg;25.0;SÃ¼d;22.07.2015;[53.550341, 10.000654];4039
SEE968711888648;Hallendach WBG;74,24;68,4;20.12.2010;11.01.2021;Hamburg;21109;Hamburg;928.0;SÃ¼d;20.12.2010;[53.550341, 10.000654];4039
SEE946304361600;Nincoper StraÃe 93 , Hausdach;31,68;30;18.04.2012;11.01.2021;Hamburg;21129;Hamburg;132.0;Ost-West;18.04.2012;[53.5259453, 9.8372267];4039
SEE963811741497;Nincoper StraÃe 93 , Scheune;16;15;24.05.2013;11.01.2021;Hamburg;21129;Hamburg;64.0;SÃ¼d;24.05.2013;[53.5259453, 9.8372267];4039
SEE933659919778;Hausdach;5,67;5,67;27.01.2015;11.01.2021;Hamburg;22145;Hamburg;23.0;SÃ¼d-West;27.01.2015;[53.6281342, 10.16261];4039
SEE965155723535;Hausdach;3;3;04.06.1991;11.01.2021;Hamburg;22359;Hamburg;;SÃ¼d;04.06.1991;[53.655975, 10.1629858];4039
SEE902309354252;Solaranlage Dach;3,56;3;21.04.1997;11.01.2021;Hamburg;22589;Hamburg;31.0;SÃ¼d;21.04.1997;[53.5780697, 9.8129384];4039
SEE926794957750;Hausdach;2,01;2,01;11.10.2016;11.01.2021;Hamburg;22523;Hamburg;6.0;SÃ¼d;11.10.2016;[53.611792, 9.8940385];4039
SEE934634248753;Fotovoltaik Wasmerstrasse 3;8,4;8,4;19.12.1996;11.01.2021;Hamburg;21079;Hamburg;70.0;SÃ¼d-Ost;19.12.1996;[53.550341, 10.000654];4039
SEE969834876451;Hausdach;89,225;83;13.11.2009;11.01.2021;Hamburg;21149;Hamburg;415.0;SÃ¼d;13.11.2009;[53.467191, 9.8560631];4039
SEE967377003761;PV-Anlage WE5032;5,9;5;16.10.2019;16.03.2021;Hamburg;22159;Hamburg;20.0;SÃ¼d;16.10.2019;[53.615857, 10.1196276];4039
SEE949360348202;PetersdorfstraÃe 20a;5,41;5,41;08.01.1998;11.01.2021;Hamburg;21079;Hamburg;50.0;SÃ¼d-West;08.01.1998;[53.550341, 10.000654];4039
SEE910722665404;Hausdach;2,01;2,01;29.03.2017;12.01.2021;Hamburg;21147;Hamburg;6.0;West;16.05.2017;[53.4781843, 9.8768076];4039
SEE915089078386;PV VN15 Hamburg;62,4;60;28.04.2016;11.01.2021;Hamburg;22419;Hamburg;256.0;SÃ¼d-West;28.04.2016;[53.550341, 10.000654];4039
SEE904043159469;Hausdach;1,1;1,1;08.01.2004;11.01.2021;Hamburg;22391;Hamburg;8.0;West;08.01.2004;[53.550341, 10.000654];4039
SEE990713197275;PV-Anlage Stammhaus;22,44;22,44;31.01.2013;11.01.2021;Hamburg;21037;Hamburg;88.0;SÃ¼d-Ost;31.01.2013;[53.4351527, 10.1484351];4039
SEE990263083202;Solar Kita;26,64;23,2;09.03.2012;12.01.2021;Hamburg;22111;Hamburg;111.0;SÃ¼d;09.03.2012;[53.550341, 10.000654];4039
SEE941683424298;5,75 kWp PV ANLAGE   Registrierung Nr. ASO-195014-11;5,75;5,75;14.07.2011;12.01.2021;Hamburg;21079;Hamburg;25.0;SÃ¼d-West;14.07.2011;[53.550341, 10.000654];4039
SEE959997049960;Solaranlage Hausdach;4,92;4,6;11.08.2005;12.01.2021;Hamburg;21039;Hamburg;24.0;SÃ¼d;11.08.2005;[53.4513175, 10.2547253];1736
SEE997825082581;Fotovoltaik Reeseberg 177a-c;7,2;7;09.11.1998;12.01.2021;Hamburg;21079;Hamburg;60.0;SÃ¼d-Ost;09.11.1998;[53.550341, 10.000654];4039
SEE938091372662;Fotovoltaik Reeseberg 179a;7,2;7;09.11.1998;12.01.2021;Hamburg;21079;Hamburg;60.0;SÃ¼d-Ost;09.11.1998;[53.550341, 10.000654];4039
SEE958298627648;Fotovoltaik Reeseberg 181a;7,2;7;09.11.1998;12.01.2021;Hamburg;21079;Hamburg;60.0;SÃ¼d-Ost;09.11.1998;[53.550341, 10.000654];4039
SEE921347375494;"Kampnagel; Halle K1";21,63;18,5;16.12.2008;12.01.2021;Hamburg;22303;Hamburg;105.0;SÃ¼d-West;16.12.2008;[53.550341, 10.000654];4039
SEE923513475045;Solar Herzmoor3;3,84;3,84;22.08.1997;13.01.2021;Hamburg;22417;Hamburg;24.0;SÃ¼d;22.08.1997;[53.6704119, 10.0270286];4039
SEE910466966867;Alt-Rahlstedt Solar 1;3;2,5;27.09.2013;15.01.2021;Hamburg;22149;Hamburg;20.0;Nord-West;27.09.2013;[53.5919645, 10.1620723];4039
SEE976004875664;45 Grad Hausdach;3,705;3,705;19.11.2012;13.01.2021;Hamburg;22043;Hamburg;19.0;SÃ¼d;19.11.2012;[53.550341, 10.000654];4039
SEE937315233345;Hausdach;2,6;2,6;17.05.1997;12.01.2021;Hamburg;22549;Hamburg;24.0;SÃ¼d;17.05.1997;[53.5846012, 9.8593302];4039
SEE927279894584;Solaranlage Beim A.1c;1,05;1;02.04.2009;13.01.2021;Hamburg;21037;Hamburg;14.0;SÃ¼d-West;02.04.2009;[53.4351527, 10.1484351];4039
SEE992893834001;Ariel 2,7kW;2,7;2,7;19.10.2009;12.01.2021;Hamburg;21037;Hamburg;27.0;Ost;19.10.2009;[53.4351527, 10.1484351];4039
SEE966789955163;Kfz-Werkstatt;7,8;7,8;30.12.2011;13.01.2021;Hamburg;21039;Hamburg;38.0;SÃ¼d;30.12.2011;[53.4513175, 10.2547253];1736
SEE984283275419;Hausdach;7,25;2,8;27.08.2012;13.01.2021;Hamburg;22457;Hamburg;24.0;SÃ¼d;27.08.2012;[53.6375593, 9.9110214];4039
SEE914978693822;Limosenweg;20,5;20,5;26.08.2013;13.01.2021;Hamburg;22547;Hamburg;82.0;SÃ¼d;26.08.2013;[53.5991257, 9.8775211];4039
SEE942566526177;Dach;5,88;5;21.08.2012;13.01.2021;Hamburg;21033;Hamburg;24.0;SÃ¼d;21.08.2012;[53.5010368, 10.1796657];4039
SEE919703845729;03.05.2010;7,02;7,02;03.05.2010;16.01.2021;Hamburg;21037;Hamburg;36.0;SÃ¼d;03.05.2010;[53.4351527, 10.1484351];4039
SEE917289600299;21.09.2010;3,71;3,5;21.09.2010;18.01.2021;Hamburg;21037;Hamburg;21.0;SÃ¼d;21.09.2010;[53.4351527, 10.1484351];4039
SEE912836581779;Photovoltaik;9,2;0,23;31.07.2012;13.01.2021;Hamburg;22043;Hamburg;10.0;Ost;31.07.2012;[53.550341, 10.000654];4039
SEE949365088837;Fotovoltaik Gottschalr.4;18;16;30.06.2000;13.01.2021;Hamburg;21073;Hamburg;180.0;SÃ¼d;30.06.2000;[53.550341, 10.000654];4039
SEE975004850664;Fotovoltaik Winsener Str. 55;7,2;7;13.09.1999;13.01.2021;Hamburg;21077;Hamburg;60.0;SÃ¼d-West;13.09.1999;[53.550341, 10.000654];4039
SEE968297743591;Hausdach;8,96;8,6;10.06.2010;13.01.2021;Hamburg;22547;Hamburg;40.0;SÃ¼d-West;10.06.2010;[53.5991257, 9.8775211];4039
SEE914808876166;Fotovoltaik Gottschalkring 10;24;22;30.06.2000;13.01.2021;Hamburg;21073;Hamburg;240.0;SÃ¼d;30.06.2000;[53.550341, 10.000654];4039
SEE997231886346;Fotovoltaik Gottschalkring 18;19,4;18;30.06.2000;13.01.2021;Hamburg;21073;Hamburg;210.0;SÃ¼d;30.06.2000;[53.550341, 10.000654];4039
SEE949293731607;Fotovoltaik Gottschalkring 22;10,07;9;30.06.2000;13.01.2021;Hamburg;21073;Hamburg;90.0;SÃ¼d;30.06.2000;[53.550341, 10.000654];4039
SEE979457623820;Hausdach;2,4;2,4;08.03.2013;10.02.2021;Hamburg;21109;Hamburg;8.0;SÃ¼d;08.03.2013;[53.550341, 10.000654];4039
SEE958947589648;Fotovoltaik RoseggerstraÃe 15;10,08;9;30.08.2001;13.01.2021;Hamburg;21079;Hamburg;84.0;SÃ¼d-Ost;30.08.2001;[53.550341, 10.000654];4039
SEE933420586154;Fotovoltail RoseggerstraÃe 19a;4,08;3,8;21.09.2001;13.01.2021;Hamburg;21079;Hamburg;34.0;SÃ¼d-West;21.09.2001;[53.550341, 10.000654];4039
SEE928056207139;Alteng. MaBaDa99;2;1,55;13.06.1997;13.01.2021;Hamburg;21039;Hamburg;16.0;SÃ¼d;13.06.1997;[53.4513175, 10.2547253];1736
SEE908845280567;SolarCube;6,24;6,24;10.05.2016;13.01.2021;Hamburg;21147;Hamburg;24.0;Ost-West;10.05.2016;[53.4781843, 9.8768076];4039
SEE944560534325;JK PV;2,08;2,08;26.08.2013;14.01.2021;Hamburg;22175;Hamburg;8.0;SÃ¼d;26.08.2013;[53.6268746, 10.1015902];4039
SEE980533609317;Bergedorf 2003;9,9;9;22.01.2003;13.01.2021;Hamburg;21033;Hamburg;99.0;SÃ¼d;22.01.2003;[53.5010368, 10.1796657];4039
SEE923905506043;Hausdach B-FlÃ¼gel;9,79;9,79;15.12.2010;14.01.2021;Hamburg;22335;Hamburg;80.0;SÃ¼d-West;15.12.2010;[53.550341, 10.000654];4039
SEE924880733806;Hausdach A-FlÃ¼gel;9,79;9,79;10.05.2012;14.01.2021;Hamburg;22335;Hamburg;80.0;West;10.05.2012;[53.550341, 10.000654];4039
SEE925512404415;Gammerweg 50;2;1,4;13.03.1996;14.01.2021;Hamburg;21039;Hamburg;40.0;SÃ¼d;13.03.1996;[53.4513175, 10.2547253];1736
SEE977257060470;PV 7,00 kWp;7;7;31.03.2017;14.01.2021;Hamburg;22765;Hamburg;28.0;SÃ¼d;31.03.2017;[53.550341, 10.000654];4039
